                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2028,                 1.5723,                  1.236,                0.56793,                 0.4291,                0.45851,                0.31831,                 1.1856,                  1.336,                 1.2155,               0.006634,               0.006634,               0.006634
                     36,                  1.205,                 1.5676,                 1.2333,                0.57212,                0.42891,                0.45874,                0.31847,                 1.1851,                 1.3346,                 1.2149,               0.006535,               0.006535,               0.006535
                     37,                  1.199,                 1.5635,                 1.2322,                0.57569,                0.42827,                0.45939,                0.31906,                 1.1847,                 1.3334,                 1.2146,               0.006436,               0.006436,               0.006436
                     38,                 1.1997,                 1.5609,                 1.2322,                0.57506,                0.42992,                0.45983,                0.31957,                  1.184,                 1.3321,                 1.2139,               0.006337,               0.006337,               0.006337
                     39,                 1.1965,                 1.5519,                 1.2283,                0.57204,                0.43026,                0.46039,                0.32019,                 1.1834,                 1.3312,                 1.2133,               0.006238,               0.006238,               0.006238
                     40,                 1.1962,                 1.5451,                 1.2282,                 0.5757,                0.43141,                0.46134,                0.32078,                 1.1824,                 1.3298,                 1.2125,               0.006139,               0.006139,               0.006139
                     41,                 1.1948,                  1.547,                 1.2301,                0.58084,                0.43003,                 0.4616,                0.32142,                 1.1817,                 1.3284,                 1.2119,                0.00604,                0.00604,                0.00604
                     42,                 1.1933,                 1.5384,                 1.2267,                0.57812,                0.43337,                0.46202,                0.32175,                 1.1813,                 1.3274,                 1.2114,               0.005941,               0.005941,               0.005941
                     43,                 1.1929,                 1.5373,                 1.2247,                0.57813,                0.43298,                0.46241,                 0.3222,                 1.1808,                 1.3259,                 1.2109,               0.005842,               0.005842,               0.005842
                     44,                 1.1904,                 1.5341,                 1.2242,                0.57789,                0.43444,                0.46313,                0.32266,                 1.1802,                 1.3246,                 1.2105,               0.005743,               0.005743,               0.005743
                     45,                 1.1887,                 1.5321,                 1.2231,                0.57998,                0.43402,                0.46345,                 0.3232,                 1.1798,                 1.3231,                 1.2102,               0.005644,               0.005644,               0.005644
                     46,                 1.1881,                  1.522,                 1.2209,                0.57826,                0.43592,                0.46406,                0.32362,                 1.1792,                  1.322,                 1.2094,               0.005545,               0.005545,               0.005545
                     47,                 1.1862,                 1.5187,                  1.219,                0.58008,                0.43474,                0.46441,                0.32385,                 1.1785,                 1.3207,                 1.2086,               0.005446,               0.005446,               0.005446
                     48,                 1.1793,                 1.5142,                 1.2175,                0.58144,                0.43427,                0.46492,                0.32445,                 1.1776,                 1.3196,                 1.2079,               0.005347,               0.005347,               0.005347
                     49,                   1.18,                 1.5082,                 1.2161,                0.58618,                 0.4331,                0.46535,                 0.3246,                 1.1771,                 1.3184,                 1.2073,               0.005248,               0.005248,               0.005248
                     50,                 1.1802,                 1.5061,                 1.2159,                0.58865,                0.43261,                 0.4663,                0.32511,                 1.1767,                 1.3179,                 1.2068,               0.005149,               0.005149,               0.005149
                     51,                 1.1789,                 1.5065,                  1.215,                0.59422,                0.43124,                0.46673,                0.32538,                 1.1764,                 1.3168,                 1.2061,                0.00505,                0.00505,                0.00505
                     52,                 1.1743,                 1.5015,                  1.214,                0.59174,                0.43331,                0.46722,                0.32594,                  1.176,                 1.3156,                 1.2056,               0.004951,               0.004951,               0.004951
                     53,                 1.1751,                 1.4957,                 1.2137,                0.58987,                0.43437,                0.46786,                 0.3264,                 1.1753,                 1.3149,                 1.2049,               0.004852,               0.004852,               0.004852
                     54,                 1.1767,                  1.493,                 1.2141,                0.59331,                0.43367,                0.46843,                0.32673,                 1.1751,                 1.3138,                 1.2045,               0.004753,               0.004753,               0.004753
                     55,                 1.1707,                 1.4857,                 1.2109,                0.59359,                0.43237,                0.46845,                  0.327,                 1.1745,                 1.3122,                 1.2039,               0.004654,               0.004654,               0.004654
                     56,                 1.1669,                 1.4822,                 1.2087,                0.59229,                0.43435,                0.46907,                0.32739,                 1.1745,                 1.3113,                 1.2038,               0.004555,               0.004555,               0.004555
                     57,                 1.1715,                 1.4805,                 1.2098,                0.59501,                0.43402,                0.46945,                0.32763,                 1.1741,                 1.3106,                 1.2032,               0.004456,               0.004456,               0.004456
                     58,                 1.1658,                 1.4712,                 1.2078,                0.59462,                0.43521,                0.46951,                 0.3275,                 1.1735,                 1.3096,                 1.2026,               0.004357,               0.004357,               0.004357
                     59,                 1.1653,                 1.4719,                 1.2059,                0.59528,                0.43452,                 0.4699,                0.32794,                 1.1731,                 1.3083,                 1.2019,               0.004258,               0.004258,               0.004258
                     60,                  1.166,                 1.4688,                  1.207,                0.59615,                0.43514,                0.47017,                0.32821,                 1.1727,                 1.3072,                 1.2013,               0.004159,               0.004159,               0.004159
                     61,                 1.1616,                 1.4607,                 1.2037,                0.59961,                0.43355,                0.47091,                0.32836,                  1.172,                 1.3062,                 1.2006,                0.00406,                0.00406,                0.00406
                     62,                 1.1603,                 1.4616,                 1.2033,                0.60104,                  0.434,                0.47124,                0.32893,                 1.1714,                 1.3054,                 1.1999,               0.003961,               0.003961,               0.003961
                     63,                  1.157,                 1.4552,                  1.202,                0.59931,                 0.4358,                0.47176,                0.32925,                  1.171,                 1.3048,                 1.1994,               0.003862,               0.003862,               0.003862
                     64,                 1.1585,                 1.4479,                 1.2014,                0.59672,                0.43768,                 0.4719,                0.32987,                 1.1709,                 1.3044,                  1.199,               0.003763,               0.003763,               0.003763
                     65,                 1.1569,                 1.4453,                 1.2003,                0.59272,                0.44058,                0.47249,                0.33035,                 1.1703,                 1.3034,                 1.1984,               0.003664,               0.003664,               0.003664
                     66,                 1.1529,                 1.4424,                 1.1981,                0.59409,                 0.4411,                0.47361,                0.33114,                   1.17,                 1.3024,                 1.1981,               0.003565,               0.003565,               0.003565
                     67,                 1.1505,                 1.4339,                 1.1966,                0.59522,                  0.441,                0.47394,                0.33148,                 1.1696,                 1.3019,                 1.1978,               0.003466,               0.003466,               0.003466
                     68,                 1.1503,                 1.4313,                 1.1954,                0.59099,                0.44257,                0.47453,                 0.3318,                 1.1691,                 1.3013,                 1.1973,               0.003367,               0.003367,               0.003367
                     69,                  1.147,                 1.4237,                 1.1943,                0.59002,                0.44263,                0.47509,                0.33211,                 1.1689,                 1.3008,                 1.1969,               0.003268,               0.003268,               0.003268
                     70,                 1.1432,                 1.4159,                 1.1935,                0.59324,                0.44126,                 0.4756,                0.33261,                 1.1684,                 1.3001,                 1.1964,               0.003169,               0.003169,               0.003169
                     71,                 1.1454,                 1.4206,                 1.1931,                0.59982,                0.43873,                0.47578,                0.33273,                 1.1679,                 1.2993,                 1.1958,                0.00307,                0.00307,                0.00307
                     72,                 1.1423,                 1.4123,                 1.1916,                0.60072,                0.43824,                0.47619,                0.33322,                 1.1676,                 1.2986,                 1.1954,               0.002971,               0.002971,               0.002971
                     73,                  1.142,                 1.4075,                 1.1896,                0.59165,                0.44219,                0.47631,                0.33356,                 1.1674,                 1.2984,                 1.1953,               0.002872,               0.002872,               0.002872
                     74,                 1.1387,                 1.4022,                 1.1894,                0.59162,                0.44267,                 0.4769,                0.33407,                 1.1673,                 1.2976,                  1.195,               0.002773,               0.002773,               0.002773
                     75,                 1.1381,                 1.3966,                  1.187,                0.58927,                0.44376,                0.47727,                0.33449,                 1.1669,                  1.297,                 1.1945,               0.002674,               0.002674,               0.002674
                     76,                 1.1361,                 1.3914,                 1.1864,                  0.593,                0.44402,                0.47758,                0.33484,                 1.1666,                 1.2967,                 1.1942,               0.002575,               0.002575,               0.002575
                     77,                 1.1329,                 1.3876,                  1.185,                 0.5916,                0.44427,                0.47778,                0.33514,                 1.1662,                 1.2963,                 1.1936,               0.002476,               0.002476,               0.002476
                     78,                 1.1321,                 1.3816,                 1.1828,                0.59401,                0.44452,                 0.4786,                0.33561,                 1.1661,                  1.296,                 1.1933,               0.002377,               0.002377,               0.002377
                     79,                 1.1281,                 1.3737,                 1.1807,                0.59754,                0.44339,                0.47899,                0.33596,                 1.1659,                 1.2955,                  1.193,               0.002278,               0.002278,               0.002278
                     80,                 1.1262,                  1.368,                 1.1813,                0.59966,                0.44301,                0.47952,                0.33626,                 1.1656,                 1.2951,                 1.1925,               0.002179,               0.002179,               0.002179
                     81,                 1.1231,                 1.3657,                 1.1791,                0.59796,                0.44389,                0.47961,                0.33635,                 1.1653,                 1.2946,                 1.1921,                0.00208,                0.00208,                0.00208
                     82,                 1.1193,                 1.3578,                 1.1775,                 0.5964,                0.44561,                0.48014,                 0.3366,                 1.1649,                 1.2939,                 1.1917,               0.001981,               0.001981,               0.001981
                     83,                 1.1168,                 1.3566,                 1.1763,                0.59836,                0.44497,                0.48044,                0.33686,                 1.1645,                 1.2934,                 1.1912,               0.001882,               0.001882,               0.001882
                     84,                 1.1203,                 1.3507,                 1.1748,                0.59911,                0.44481,                0.48081,                0.33724,                  1.164,                 1.2929,                 1.1907,               0.001783,               0.001783,               0.001783
                     85,                 1.1153,                  1.342,                 1.1733,                0.60091,                 0.4448,                0.48105,                 0.3374,                 1.1636,                 1.2927,                 1.1902,               0.001684,               0.001684,               0.001684
                     86,                 1.1151,                   1.34,                 1.1728,                0.59708,                0.44717,                0.48129,                0.33777,                 1.1635,                 1.2924,                   1.19,               0.001585,               0.001585,               0.001585
                     87,                 1.1115,                  1.333,                 1.1704,                0.59783,                0.44639,                0.48161,                0.33823,                 1.1634,                 1.2922,                 1.1897,               0.001486,               0.001486,               0.001486
