                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2098,                 1.5976,                 1.2393,                0.59111,                0.43978,                0.47524,                0.33199,                 1.1616,                 1.3083,                 1.1954,               0.006634,               0.006634,               0.006634
                     36,                 1.2118,                 1.5991,                 1.2391,                0.59115,                0.43947,                 0.4755,                 0.3324,                 1.1616,                 1.3075,                 1.1952,               0.006535,               0.006535,               0.006535
                     37,                 1.2092,                 1.5924,                 1.2371,                0.58828,                 0.4392,                0.47523,                0.33279,                  1.161,                 1.3065,                 1.1949,               0.006436,               0.006436,               0.006436
                     38,                 1.2078,                 1.5907,                 1.2366,                0.58445,                0.44044,                0.47595,                 0.3332,                 1.1603,                 1.3052,                 1.1945,               0.006337,               0.006337,               0.006337
                     39,                 1.2077,                 1.5872,                 1.2355,                0.58972,                0.43884,                0.47668,                0.33364,                 1.1598,                 1.3039,                 1.1941,               0.006238,               0.006238,               0.006238
                     40,                 1.2064,                 1.5845,                 1.2345,                0.58485,                0.44183,                0.47709,                0.33396,                 1.1598,                 1.3029,                 1.1939,               0.006139,               0.006139,               0.006139
                     41,                 1.2056,                 1.5811,                 1.2329,                0.58164,                0.44472,                0.47788,                0.33459,                 1.1594,                 1.3017,                 1.1933,                0.00604,                0.00604,                0.00604
                     42,                 1.2032,                   1.58,                 1.2325,                 0.5946,                0.43912,                0.47844,                0.33509,                 1.1591,                 1.3004,                 1.1926,               0.005941,               0.005941,               0.005941
                     43,                 1.2023,                 1.5777,                 1.2331,                0.59167,                0.44213,                0.47935,                0.33542,                 1.1588,                 1.2992,                 1.1923,               0.005842,               0.005842,               0.005842
                     44,                 1.2023,                 1.5732,                 1.2316,                0.60116,                0.44381,                0.48034,                0.33618,                 1.1589,                 1.2977,                 1.1922,               0.005743,               0.005743,               0.005743
                     45,                 1.2007,                 1.5724,                  1.231,                0.59972,                0.44663,                0.48135,                0.33665,                 1.1584,                 1.2964,                 1.1916,               0.005644,               0.005644,               0.005644
                     46,                 1.2001,                  1.567,                 1.2308,                0.59954,                0.44647,                0.48163,                0.33738,                 1.1582,                 1.2952,                 1.1911,               0.005545,               0.005545,               0.005545
                     47,                 1.1977,                 1.5652,                 1.2291,                0.60175,                0.44586,                0.48223,                0.33768,                 1.1571,                 1.2943,                   1.19,               0.005446,               0.005446,               0.005446
                     48,                 1.1961,                 1.5626,                 1.2285,                0.60353,                0.44489,                0.48246,                0.33797,                 1.1562,                 1.2931,                 1.1894,               0.005347,               0.005347,               0.005347
                     49,                 1.1962,                 1.5558,                  1.226,                0.59739,                0.44797,                0.48285,                0.33854,                 1.1556,                 1.2927,                 1.1887,               0.005248,               0.005248,               0.005248
                     50,                 1.1938,                 1.5549,                 1.2258,                0.59752,                0.44953,                0.48354,                0.33872,                  1.156,                 1.2912,                 1.1886,               0.005149,               0.005149,               0.005149
                     51,                 1.1943,                 1.5523,                 1.2249,                0.60484,                0.44704,                0.48399,                0.33939,                 1.1549,                 1.2891,                 1.1878,                0.00505,                0.00505,                0.00505
                     52,                 1.1915,                 1.5493,                 1.2244,                0.60613,                0.44974,                0.48481,                0.33981,                 1.1544,                 1.2881,                 1.1871,               0.004951,               0.004951,               0.004951
                     53,                 1.1892,                 1.5477,                 1.2238,                0.60229,                0.45057,                0.48465,                0.33979,                  1.154,                 1.2872,                 1.1865,               0.004852,               0.004852,               0.004852
